42,58
9,54
60,87
47,26
70,32
70,12
64,94
3,65
6,48
32,64
53,55
66,65
41,54
82,72
72,52
97,100
53,22
32,10
10,11
61,6
78,40
42,45
9,36
26,77
15,63
28,77
44,94
53,98
46,19
88,14
52,70
95,9
64,53
96,53
24,86
68,48
29,39
67,67
70,74
6,52
25,35
22,15
67,59
85,26
34,4
78,76
68,24
0,44
60,69
39,36
92,74
0,39
46,69
42,71
46,44
77,1
32,33
79,42
47,27
3,19
17,82
72,43
47,89
15,39
34,77
61,40
19,81
74,76
24,38
92,21
27,79
77,95
19,33
29,67
9,44
58,84
69,77
55,16
42,87
65,99
65,51
68,89
64,59
95,15
21,20
71,41
23,75
12,83
61,79
45,32
46,53
66,9
77,11
35,13
66,68
42,50
85,19
84,49
25,14
61,5
